id,nity_area,caseno,Date,block,Type,Type_desc,Where,Arrest,Domestic,District,Community_area,Year,Time,Latitude,Longitude,IPC,Session,Day
0,12583965,JF102303,03-01-2022,003XX E 76TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,6,69,2015,13:30:00,30.57312818,79.74287813,427,Noon,Wednesday
1,12583949,JF102446,03-01-2022,021XX W 72ND PL,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,7,67,2015,17:15:00,29.86493533,79.5157185,441,Evening,Wednesday
2,12583314,JF101736,03-01-2022,024XX S ARCHER AVE,ROBBERY,ARMED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,9,60,2015,1:49:00,30.67295309,79.56173001,392,Late Night,Wednesday
3,12584353,JF103119,03-01-2022,075XX S ESSEX AVE,THEFT,OVER $500,STREET,FALSE,FALSE,4,43,2015,3:00:00,28.7593419,80.92585968,378,Late Night,Wednesday
4,12584669,JF102858,03-01-2022,044XX S TRUMBULL AVE,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,8,58,2015,12:53:00,30.45204305,77.86808238,378,Noon,Wednesday
5,12583999,JF102631,03-01-2022,067XX S SANGAMON ST,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,7,68,2015,19:45:00,29.85793862,80.3345138,352,Evening,Wednesday
6,12585192,JF103467,03-01-2022,021XX N ALBANY AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,14,22,2015,11:00:00,31.32515795,81.10022858,379,Morning,Wednesday
7,12583702,JF102308,03-01-2022,017XX N DAMEN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,14,24,2015,12:00:00,30.84269599,78.02857352,279,Noon,Wednesday
8,12584073,JF102745,03-01-2022,001XX N DESPLAINES ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,1,28,2015,22:02:00,28.80501564,80.34103059,38-42,Night,Wednesday
9,12584093,JF102738,03-01-2022,045XX N MAGNOLIA AVE,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,19,3,2015,20:00:00,30.38170269,77.76548923,352,Night,Wednesday
