district,disname,address,city,zip,website,latitude,longitude
1,Uttarkashi," Postmaster, Uttarkashi G.P.O., Uttarkashi,",Uttrakhand,249193,https://uttarakhandpolice.uk.gov.in/dstations/13,29.94569,78.164246
2,New Tehri," Postmaster, New Tehri G.P.O., New Tehri,",Uttrakhand,249001,https://uttarakhandpolice.uk.gov.in/dstations/11,30.3739,78.4325
3,Dehradun," Postmaster, Dehradun G.P.O., Dehradun,",Uttrakhand,248001,https://uttarakhandpolice.uk.gov.in/dstations/5,30.316496,78.032188
4,Rudraprayag,"Postmaster,Rudraprayag , H.O, Rudraprayag",Uttrakhand,246171,https://uttarakhandpolice.uk.gov.in/dstations/10,30.2844,78.9811
5,Chamoli,"Postmaster, Chamoli, H.O, Chamoli",Uttrakhand,246424,https://uttarakhandpolice.uk.gov.in/dstations/3,30.404105,79.331769
6,Pauri,"Postmaster,Pauri,  G.P.O,Pauri",Uttrakhand,246001,https://uttarakhandpolice.uk.gov.in/dstations/8,29.8688,78.8383
7,Haridwar,"Postmaster, Haridwar S.O, Haridwar,",Uttrakhand,249401,https://uttarakhandpolice.uk.gov.in/dstations/6,29.9457,78.1642
8,Bageshwar,"Postmaster, Bageshwar H.O, Bageshwar",Uttrakhand,263642,https://uttarakhandpolice.uk.gov.in/dstations/2,29.8474633,79.7787612
9,Almora,"Postmaster, Almora P.O, Almora,",Uttrakhand,263601,https://uttarakhandpolice.uk.gov.in/dstations/1,29.5892,79.6467
10,Pithoragarh,"Postmaster, Pitogarh H.O, Pitogarh,",Uttrakhand,262501,https://uttarakhandpolice.uk.gov.in/dstations/9,29.5829,80.2182
11,Champawat,"Postmaster, Champawat S.O, Champawat,",Uttrakhand,262309,https://uttarakhandpolice.uk.gov.in/dstations/4,29.3361,80.091
12,Nainital,"Postmaster, Nainital H.O, Nainital,",Uttrakhand,263139,https://uttarakhandpolice.uk.gov.in/dstations/7,29.3919,79.4542
13,Rudrapur,"Postmaster, Rudrapur H.O, Rudrapur,",Uttrakhand,263153,https://uttarakhandpolice.uk.gov.in/dstations/12,28.9875,79.4141
