Police_Station,Phone_Number,Address,Latitude,Longitude
Adarsh Nagar Police Station,"0141-2615238,2610644","Mandir Marg, Saket Colony, Adarsh Nagar, Jaipur, Rajasthan 302004",26.90444,75.83231
Addl. SP. Dudu Police Station,227438,"National Highway 8, Dudu, Jaipur, Rajasthan 303008",26.59633,74.84748
Addl.S.P. Kotputli Police Station,224001,"Kotputli, Rajasthan 303108",27.70542,76.19825
Adera Police Station,265455,"RPA Rd, Circle, near State Bank Of India ATM, Pani Pech, Nehru Nagar, Jaipur, Rajasthan 302016, India",26.94218,75.7896
Amer Police Station,"2530295, 2530810","192, Amer Rd Amer, Devisinghpura, Amer Rd, Devisinghpura, Amer, Jaipur, Rajasthan 302028",26.96516,75.84669
Andhi Police Station,261429,"VPO- Teh- Jamwaramgarh Dist- 303001, Aandhi, Rajasthan",27.07623,76.20521
Ashok Nagar Police Station,0141-2225650,"Tilak Marg, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302005",26.908871,75.802322
Bagru Police Station,2865422,"Bagru, Ajmer-Jaipur Expy, Dahmi Khurd, Rajasthan 303007",26.8218,75.5438
Bajaj Nagar Police Station,"0141-2705971, 2703153","Police Station, Tonk Rd, Bajaj Nagar, Jaipur, Rajasthan 302015",26.87416,75.79763
Banipark Police Station,2202095,"Ram Mandir Rd, Military Cantonment, Jhotwara, Jaipur, Rajasthan 302016",26.90255,75.78609
Bassi Police Station,01429-222336,"Bassi, Rajasthan 303301",26.78267,76.09823
Bhatta Basti Police Station,"2300875, 2307100","Bhatta basti , Shastri Nagar, Jaipur, Rajasthan 302016",26.94822,75.80457
Brahmapuri Police Station,"2672315, 2670095","18, Amer Rd, Agrasen Nagar, Govind Nagar East, Shankar Nagar, Jaipur, Rajasthan 302002",26.94256,75.83916
Chaksu Police Station,01429-243640,"Chaksu, Rajasthan 303901",26.54163,75.98535
Chandwaji Police Station,231438,"Jaipur -Delhi Highway , Shobha Nagar,Chandwaji, Jaipur, Rajasthan 303121",27.20648,75.95054
Chomu Police Station,220009,"Chomu Police Station, Chomu, Rajasthan 303702",27.1647,75.7228
CO. Dudu Police Station,227194,"Dudu, Jaipur – 303008, Phagi",26.67869,75.23729
Dudu Police Station,227123,"National Highway 8, Dudu, Jaipur, Rajasthan 303008",26.596331,74.847481
Galta Gate Police Station,"2641067, 2641852","Jaipur – Delhi Highway, Galta gate, Raghunathgarh, Jaipur, Rajasthan 302003",26.92335,75.82405
Gandhi Nagar Police Station,"0141-2719150, 2719026","1/7, Chikitsalaya Marg, Bapu Nagar, Jaipur, Rajasthan 302015",26.89248,75.80858
Govindgarh Police Station,23023,"Stadium Rd, Govindgarh, Rajasthan 303712",27.25137,75.65016
Harmara Police Station,2263744,"5, Sikar Rd, Harmada, Jaipur, Rajasthan 302013",27.02331,75.76939
Jalupura Police Station,"2367588, 2373589","Gopinath Marg, Jalupura, Jaipur, Rajasthan 302001",26.91928,75.80358
Jawahar Circle Police Station,"0141-2173571,2546076","354-356, Siddharth Nagar, Malviya Nagar, Sector 9, Jaipur, Rajasthan 302017",26.83596,75.81542
Jawahar Nagar Police Station,"0141-2623060, 2624553","Shanti Path, Jawahar Nagar, Sector 6, Jaipur, Rajasthan 302004",26.89481,75.8352
Jhotwara Police Station,2341555,"Kamani Rd, Puliya, Jhotwara, Jaipur, Rajasthan 302012",26.95581,75.76023
Jobner Police Station,"254046, 01425 254 046","Jobner, Rajasthan 303328",26.9741,75.3862
Jyoti Nagar Police Station,0141-2741844,"Subrata Sarkar Rd, Satya Vihar, Lal Kothi Scheme, Lalkothi, Jaipur, Rajasthan 202015",26.88367,75.79851
Kalwar Police Station,2589631,"SH 2C, Rajasthan 303701",26.97475,75.62436
Kanota Police Station,01429-234100,"Jaipur-Agra Road, Jaipur District, Kanauta, Rajasthan 303012",26.86611,75.96907
Kardhani Police Station,2405900,"Kardhani Govindpura, Jaipur, Rajasthan 302012",26.9523,75.70063
Karni Vihar Police Station,"2440080, 0141 244 0080","Chitrakoot, Jaipur, Rajasthan 302021",26.90601,75.74073
Kotwali Police Station,"2321444, 2322444","Kishanpole Bazar Road, Chandpol, Pink City, Jaipur, Rajasthan 302001",26.92223,75.81779
